year,number,age,amount
2017,5 and over,2,16
2017,5 and over,3,20
2017,5 and over,4,32
2017,5 and over,5,36
2017,5 and over,6,16
2017,5 and over,7,21
2017,5 and over,8,19
2017,5 and over,9,7
2017,5 and over,10,
2017,5 and over,11,4
2017,5 and over,12,
2017,5 and over,13,
2017,5 and over,14,
2017,5 and over,15,
2017,5 and over,16,
2017,5 and over,17,
